wall_time,ros_time,msg_stamp,has_converged,matching_error,inlier_fraction,relative_x,relative_y,relative_z,relative_yaw
62.704567,1778662921.860980,1778662921.677718,1,0.050907,0.950920,0.038602,0.154878,0.027257,-0.068193
62.810999,1778662921.967413,1778662921.777716,1,0.050621,0.950633,0.033110,0.165261,0.028509,-0.068757
62.881540,1778662922.037953,1778662921.877702,1,0.050220,0.950759,0.034224,0.161702,0.032667,-0.068059
63.006992,1778662922.163413,1778662921.977991,1,0.049936,0.952078,0.044506,0.160897,0.026887,-0.068930
63.090620,1778662922.247034,1778662922.077800,1,0.052272,0.949298,0.044959,0.165044,0.026939,-0.068682
63.203633,1778662922.360047,1778662922.177730,1,0.050158,0.951627,0.040686,0.162813,0.026225,-0.068803
63.308692,1778662922.465106,1778662922.282164,1,0.053477,0.948770,0.042416,0.155379,0.034233,-0.067876
63.396577,1778662922.552987,1778662922.377989,1,0.051054,0.951666,0.044233,0.164685,0.028283,-0.068546
63.488584,1778662922.644994,1778662922.477715,1,0.051140,0.950112,0.041448,0.163157,0.028780,-0.068843
63.596809,1778662922.753218,1778662922.577706,1,0.049890,0.950630,0.041707,0.164681,0.029093,-0.068503
63.688899,1778662922.845309,1778662922.677724,1,0.050982,0.951003,0.040611,0.159707,0.030320,-0.068408
63.803823,1778662922.960240,1778662922.777781,1,0.049672,0.951822,0.037287,0.164812,0.030474,-0.068306
63.906809,1778662923.063220,1778662922.878088,1,0.051147,0.951127,0.034675,0.161392,0.027331,-0.068313
63.989458,1778662923.145873,1778662922.977752,1,0.050419,0.951743,0.032782,0.160400,0.028216,-0.067229
64.099705,1778662923.256114,1778662923.078103,1,0.051148,0.951496,0.036179,0.162254,0.031915,-0.068168
64.208375,1778662923.364784,1778662923.177777,1,0.050843,0.950786,0.045066,0.165532,0.028265,-0.068663
64.293400,1778662923.449833,1778662923.282564,1,0.053970,0.948345,0.051413,0.164504,0.032862,-0.067824
64.396691,1778662923.553102,1778662923.377776,1,0.050811,0.951198,0.046690,0.164070,0.026274,-0.068865
64.503682,1778662923.660095,1778662923.478010,1,0.051270,0.950763,0.051369,0.168156,0.028390,-0.069499
64.588231,1778662923.744645,1778662923.577792,1,0.051008,0.951537,0.041528,0.165119,0.030877,-0.068455
64.680298,1778662923.836710,1778662923.678102,1,0.050230,0.951518,0.045731,0.164595,0.028877,-0.068145
64.793008,1778662923.949420,1778662923.777778,1,0.050231,0.951226,0.043157,0.161669,0.028856,-0.068143
64.908942,1778662924.065371,1778662923.877854,1,0.050445,0.952044,0.042687,0.165853,0.030239,-0.068135
64.997542,1778662924.153955,1778662923.977732,1,0.050276,0.951667,0.042901,0.167504,0.031210,-0.068333
65.103483,1778662924.259895,1778662924.078208,1,0.050985,0.950958,0.037813,0.162900,0.031402,-0.068465
65.192723,1778662924.349136,1778662924.177768,1,0.049844,0.951243,0.037434,0.166081,0.029799,-0.068098
65.298729,1778662924.455146,1778662924.282242,1,0.052405,0.948942,0.043167,0.167408,0.034204,-0.068510
65.400507,1778662924.556922,1778662924.377981,1,0.050599,0.951603,0.045140,0.164622,0.027377,-0.068017
65.477378,1778662924.633788,1778662924.477754,1,0.051128,0.949862,0.047057,0.165553,0.027472,-0.068729
65.599715,1778662924.756128,1778662924.579288,1,0.050023,0.952290,0.045160,0.166234,0.028661,-0.068896
65.731926,1778662924.888339,1778662924.678132,1,0.050565,0.951342,0.044324,0.167081,0.028347,-0.068193
65.808547,1778662924.964956,1778662924.777944,1,0.049663,0.951474,0.044156,0.165956,0.030285,-0.068497
65.886137,1778662925.042555,1778662924.878029,1,0.051222,0.950323,0.045588,0.164166,0.028627,-0.068608
