cloud_index,x_m,y_m,z_m,yaw_deg,range_descriptor,angle_descriptor,source_id,cloud_path
9760,18.011492,15.868451,0,-126.779977,0;0;0;0;0;0;1.51327431;0.902654886;1.68141592;17.9646015;52.2123909;50.2477875;29.0530968;34.9468994;28.4601746;23.362833;27.3805332;49.9292068;40.8318558;18.787611;17.4601765;7.46017742;10.2566376;58.7876091;19.6814156;21.3805313;14.4424782;66.7256622;18.7256641;6.70796442;0;0;0;0;0;0;0;0;0;0,11.929203;13.929204;8.76106262;11.0796461;7.46902704;7.92920399;4.91150475;5.75221252;15.3716812;11.2566376;22.8318577;25.8761044;28.8230076;35.8230057;8.32743359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.3097343;25.1150436;33.4601784;41.1150436;33.0884933;36.8761063;36.4778748;31.9469013;39.4513245;13.1238937;27.424778;20.8407059;17.6283188;13.6194696;16.3539829,46,solid_clouds/keyframe_541.pcd
9840,18.004268,15.86688,0,-126.773645,0;0;0;0;0;0;0.895652175;0.295652151;2.2434783;19.7739124;52.3304367;47.8956566;28.3565235;35.6434784;27.391304;22.9217396;27.9913025;48.1304359;40.3217392;18.6434784;18.434782;8.1826086;11.6695652;54.9217415;20.9043484;21.6000004;13.1652174;69.0695648;16.2000008;3.60869551;0;0;0;0;0;0;0;0;0;0,12.913044;11.999999;8.52173805;10.4173908;7.73043489;7.8347826;4.88695621;6.9217391;15.5826073;11.478261;24.6000004;25.1130447;29.130434;35.2347794;8.63478279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0173912;24.913044;35.5304375;39.2608681;31.5565224;35.1391296;36.7478256;36.2782631;32.9304352;11.956521;26.6173916;20.4000015;17.5304337;13.4869566;16.2260857,46,solid_clouds/keyframe_542.pcd
9920,18.005816,15.86682,0,-126.829384,0;0;0;0;0;0;1.23008847;0.300884962;1.93805313;18.4690266;54.5929184;50.1150436;29.2300873;35.9734497;28.6814156;22.212389;28.0000019;51.3982239;41.1504402;21.1061954;17.3893814;8.31858444;13.6194687;58.4336319;20.6637173;24.1592922;11.5575218;63.707962;15.8672562;4.76991129;0;0;0;0;0;0;0;0;0;0,12.0973454;13.4424782;8.69026661;10.6283188;8.35398197;8;4.97345161;5.71681404;15.9557524;11.6725655;22.3451328;27.070797;27.9999981;37.0354004;8.38938046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.424778;25.2300873;36.4336281;38.8672562;30.2477875;35.725666;36.495575;32.9469032;38.2389374;16.6194687;27.2477894;21.0353985;17.8230095;13.7256641;18.4513283,46,solid_clouds/keyframe_543.pcd
10000,18.268494,15.821382,0,5.111975,0;0;0.677685976;1.65289247;4.38842916;12.1570253;15.8512421;13.3553715;12.1487608;12.1735525;21.3305798;39.4793434;52.7933884;58.6033058;53.6694221;44.0909119;63.165287;84.6694183;64.3801651;42.9008217;51.4049606;35.9669418;36.0413246;17.6115704;8.77685928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,53.0165291;61.3471107;19.4462814;33.4793396;9.53719044;4.42975235;5.36363602;6.76033115;15.925621;9.04132271;11.1900826;8.14049625;11.2975206;8.41322327;8.03305817;1.81818187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.71900845;11.3553724;12.909091;19.8181839;30.8842945;32.9256172;42.2809906;46.6859512;52.3057861;41.5785141;35.6033058;49.6859512;29.710741;32.0578537;37.5289268,46,solid_clouds/keyframe_544.pcd
10080,22.3322,15.198721,0,-67.822885,0;0;0;0;0;0;0;0;24.272728;27.9870129;73.5584412;122.311684;70.0519485;72;53.3376579;38.5714264;25.1168823;10.2987013;6.27272749;3.93506479;0.818181813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,17.3506508;24.454546;37.9220772;27.363636;21.2077904;15.4285717;18.9480515;25.0129852;9.62337685;10.7662334;7.16883087;8.49350739;8.89610386;23.2337666;15.5844154;3.90909076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.7402592;20.9090919;24.3116875;17.3246746;15.3246756;13;17.0129871;15.8051949;14.2467537;15.5194807;14.3376627;18.2207794;16.9740276;13.5324678;23.9090919,46,solid_clouds/keyframe_545.pcd
10160,22.393054,15.242209,0,-138.547596,0;0;0;0;0;0;0.850340128;5.6938777;9.31972885;12.4829941;39.1972771;82.0408249;28.5850315;17;43.4965973;25.72789;14.7142849;12.8979597;13.8571434;17.2993202;15;12.9387751;18.6870747;10.0068026;6.9455781;8.73469353;13.1156464;18.6122456;1.19727886;1.97959185;4.06122446;8.41496658;41.0136032;7.51700687;21.6258507;10.6190472;50.4285736;7.14966011;0;0,12.5102043;14.6190481;8.8911562;12.5102034;11.530612;13.1156454;15.4013596;14.8231287;11.4489794;10.3401356;13.8571424;10.9455776;12.2108841;20.1020393;8.95918274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.57823133;8.1088438;23.6870747;21.2925148;29.7278938;45.5102081;34.9591827;33.2857132;37.9659882;31.2789116;22.7687073;29.5306129;30.2585011;25.0204105;13.9727898,46,solid_clouds/keyframe_546.pcd
10240,22.38294,15.243739,0,-138.435866,0;0;0;0;0;0;1.10738254;5.75838947;10.6778526;11.986578;38.7046967;83.7047043;28.3422813;18.4966431;43.3422813;24.7114086;17.959734;10.7248325;16.9261742;15.8322144;14.1744967;11.6912756;17.8456383;12.489933;7.14093971;5.87919474;13.5704708;17.6375828;1.26174498;3.93288589;5.9530201;6.84563828;42.2885895;8.93959808;18.7583885;10.8724842;51.2684555;10.8993282;0.758389235;0,12.6711407;13.9463081;8.99328804;12.9194632;11.6442957;12.9395971;13.3020144;15.5906048;11.2281876;11.0805368;13.8456383;10.6845636;12.1677847;19.8993282;11.7516785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.63087249;13.9127522;22.4429512;21.4295292;34.7919464;43.3825493;33;33.3892632;39.2214775;33.9932861;21.8791943;30.8523502;29.6644306;23.7650986;13.4630871,46,solid_clouds/keyframe_547.pcd
10320,22.394518,15.244713,0,-138.425772,0;0;0;0;0;0;1.09523821;5.91156483;10.6190481;13.4421759;40.136055;86.4217682;28.5102024;19.2040825;44.6462555;28.061224;17.5442162;9.36734676;16.0476189;17.2721081;16.8299313;12.0544214;18.4217682;12.938776;7.59183693;6.92516994;16.333334;20.1836739;1.33333337;2.97278929;4.41496611;7.29931974;46.850338;7.61904764;25.0340137;8.67346954;53.0476227;12.1224489;0;0,12.9251699;15;10.4489794;14.4897947;10.727891;13.1224489;12.7687073;15.5102043;11.4217691;13.1768713;14.2312927;10.7619047;12.7210884;20.3809528;13.2448969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.80952358;11.3265295;25.0204067;21.0544224;32.6394577;48.5782356;36.6258507;35.5102043;41.1496582;36.1904793;25.2516994;32.2925148;31.2380962;24.5714302;13.7346935,46,solid_clouds/keyframe_548.pcd
10400,22.390127,15.244279,0,-138.410354,0;0;0;0;0;0;1.21830988;6.25352097;9.49295712;13.2887325;41.732399;87.4647827;28.5492954;18.1901398;44.7816963;26.8521118;19.1267605;9.3802824;16.7253532;16.8028183;15.6901407;12.2887325;17.8098602;12.6901407;7.68309832;6.15492964;15.0070429;13.1338034;2.96478868;1.95774651;5.08450699;8.81690121;44.330986;6.12676048;24.161972;9.29577446;56.084507;10.3169012;0;0,13.0211258;14.4577465;9.54225349;13.8943653;11.3943663;14.0140858;14.1971827;15.9788733;11.6549292;12.1760559;14.4577475;11.2112675;12.6830988;20.4507046;13.0281696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.86619735;10.2112675;24.3661976;21.4014091;33.2042274;43.3169022;35.0422516;36.8591537;37.5352097;35.0070419;24.5281696;32.4436607;30.176054;26.1126766;14.2253523,46,solid_clouds/keyframe_549.pcd
10480,22.391757,15.234817,0,-138.590599,0;0;0;0;0;0;1.09859157;5.94366169;8.80281639;13.661972;40.4718323;81.3450699;29.6267605;19.7394371;44.8873253;26.338028;14.3521128;11.6690149;18.1901417;17.9507027;15.5563383;11.6197186;18.8943653;12.3802814;8.45774651;5.57746506;15.3943672;13.0704231;1.35211265;2.97887325;6.11971855;6.11267614;43.1901398;9.35211277;27.330986;11.4084511;52.3873253;9.24647903;0;0,12.9084501;15.8239431;9.46478844;13.8802814;10.8169012;12.5422535;13.9366198;14.5563374;12.3028164;12.084507;14.2394371;10.6126747;13.2746477;19.9084492;11.1408453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.82394361;11.5774651;23.4718304;18.2183094;37.1760559;44.5422516;33.6126747;36.1830978;41.0492973;33.4436646;22.6197186;32.2042236;31.4014091;25.0352116;13.6549301,46,solid_clouds/keyframe_550.pcd
